Experiments,Time,s1,s2,s3,s4,s5,s6
exp_1,0.0,0.057521176843225455,0.038149105046999386,0.03638171850804772,0.08347235637374911,0.08690350657749313,0.015780193956327536
exp_1,16.0,0.019510677667829338,0.18903980879515336,0.29622830417537915,0.39909486747951106,0.020006682344305644,0.2936842960543046
exp_1,32.0,0.007628857967473686,0.21243124358562918,0.2936369272391698,0.38990304974208245,0.0035050779124173783,0.294393472010395
exp_1,48.0,0.002729074238937665,0.2127256397739229,0.29161109748161845,0.38432540665205356,0.001,0.29288756923493425
exp_2,0.0,0.06915909917180532,0.007341549761730406,0.0695848582093681,0.07775829595952842,0.03837480756430935,0.08193501701638418
exp_2,16.0,0.01811163586259518,0.18827605808198258,0.30425991270350405,0.3917662633384509,0.00592726249502059,0.2992810037580867
exp_2,32.0,0.0067921916180455925,0.212831863139839,0.2908495229057398,0.38884464889781933,0.001,0.2954158237837541
exp_2,48.0,0.005702667484709673,0.21297355144796462,0.29146419645889726,0.3867370860428674,0.001,0.29666644143317183
exp_3,0.0,0.04027519468766482,0.05777752065186001,0.03594498039549749,0.03145003437753379,0.02411267117407672,0.056758434447660426
exp_3,16.0,0.021801762073188107,0.20222540391187532,0.29677364599754574,0.3962891756863203,0.006946337006513077,0.2915376586196395
exp_3,32.0,0.009483266914687994,0.21263025525366713,0.2923297778312992,0.3903801458231929,0.0017234775323402515,0.2953670149611314
exp_3,48.0,0.005197357992779788,0.2155761199670962,0.2925159623121002,0.38380878228110055,0.001963531084256944,0.2956579626075699
exp_4,0.0,0.04238625649624069,0.07607110117139484,0.0638572168215017,0.02040704738467961,0.08315099020146588,0.09097172931388099
exp_4,16.0,0.022358264079170312,0.19897808070932307,0.2942732739328208,0.39964568689223406,0.013672041923873928,0.2936732190626596
exp_4,32.0,0.009229754431898487,0.21097568545636244,0.2909652261840173,0.39202323748455137,0.0038416684805834215,0.29504052195377933
exp_4,48.0,0.0040223019857174355,0.21313593989499507,0.2903923928738904,0.3855500887309794,0.001,0.2961383380421924
exp_5,0.0,0.014015057663268434,0.07887111694384216,0.04048005741533139,0.01742552287115941,0.07164211352908884,0.036914474683864086
exp_5,16.0,0.014519569443605851,0.19685510462081424,0.2943716730919277,0.39783125198973746,0.01683070258335282,0.2959425251896257
exp_5,32.0,0.008888677015962057,0.21127244797934794,0.2918870353904977,0.3885676666901032,0.0021871659048684432,0.29642255706833254
exp_5,48.0,0.004313950762069614,0.21398781326668256,0.29251689595951924,0.38638581689885015,0.0010912478540327374,0.2950352636902604
exp_6,0.0,0.050991426077067456,0.028260573803974853,0.01847432335716382,0.042288846710506096,0.04560421971798518,0.06507883717472707
exp_6,16.0,0.020624961096238296,0.19877753957988148,0.2941760826125476,0.3994521290243206,0.010466179293913712,0.29408752684524875
exp_6,32.0,0.011040984788520959,0.2105893941215761,0.293015469281602,0.39077311738092674,0.001,0.29485986632661304
exp_6,48.0,0.00476777220503822,0.21451917026327297,0.2907196943729171,0.3860767128397103,0.001,0.2969645032904387
exp_7,0.0,0.024845088888406214,0.006042524212243451,0.05424790937014907,0.007836369541940249,0.0747735583210032,0.04232226260303646
exp_7,16.0,0.018194089057658704,0.18130702069810592,0.30288416864869894,0.39270132125471435,0.013480467552581317,0.30162136369846876
exp_7,32.0,0.00703971206681935,0.21168953863585074,0.29084044624248145,0.3875709867598071,0.002196488639934843,0.2952155699330726
