Experiments,Time,s1,s2,s3
exp_1,0.0,0.10004664811847784,0.048101530491449,0.01902265064067818
exp_1,16.0,0.2685748715044395,0.41497568677755076,0.05838915925770458
exp_1,32.0,0.2738972129932167,0.41417680580238697,0.07653485057276932
exp_1,48.0,0.2751136252591986,0.4149304878745337,0.08056475469785888
exp_2,0.0,0.07081290896225348,0.10022413886062603,0.04433763595953003
exp_2,16.0,0.2729235269217255,0.4159136599087908,0.07354274494999333
exp_2,32.0,0.27647598351226216,0.4158180618806212,0.0791580431504385
exp_2,48.0,0.27486259101844984,0.4158650293727747,0.07970595615555247
exp_3,0.0,0.054584651673739285,0.07304048721812814,0.03609353822039753
exp_3,16.0,0.2710535108262747,0.4135224734368441,0.07064164028739939
exp_3,32.0,0.2751140593971866,0.4142849740219624,0.07921089875188814
exp_3,48.0,0.2736424514271833,0.4141236743127444,0.08058630577575734
exp_4,0.0,0.0929426924186751,0.01823211727048222,0.07100096095446409
exp_4,16.0,0.27683331948673806,0.4148742885209636,0.07733159669057044
exp_4,32.0,0.2758483507748352,0.4138326075056815,0.08068423604868398
exp_4,48.0,0.2745636660140964,0.4146179569852962,0.08161945043452329
exp_5,0.0,0.07662726923527653,0.09768650491857775,0.06066241026179674
exp_5,16.0,0.2723594602540171,0.4144411185124831,0.07703036168204204
exp_5,32.0,0.27696583535207736,0.4148824626474143,0.07988883095860677
exp_5,48.0,0.2763038109370435,0.4135854306792858,0.081449717332072
exp_6,0.0,0.003262365267782498,0.03137893877198356,0.028835342107037223
exp_6,16.0,0.26703200741935884,0.4117834047890587,0.06941875478605787
exp_6,32.0,0.27352216329907103,0.41412384376318795,0.07886845173710005
exp_6,48.0,0.2778012956694729,0.4145851207172534,0.0802774303080406
exp_7,0.0,0.06873632916212752,0.09470900374013758,0.06996162699524576
exp_7,16.0,0.27438450199706066,0.4142515844713074,0.08046620297692107
exp_7,32.0,0.2746671396769463,0.4117780033747643,0.08159199851761961
exp_7,48.0,0.2754800599211074,0.415081105696292,0.0805426903713414
exp_8,0.0,0.049082561070297986,0.04708102281420121,0.07659987751268547
exp_8,16.0,0.27536242572100916,0.4139827184200106,0.07954897063426702
exp_8,32.0,0.27585582707742323,0.4128523385548177,0.08130294853759
exp_8,48.0,0.27419649501253357,0.4143239423143411,0.0809431533791321
exp_9,0.0,0.07597543720254701,0.029844207335876616,0.05849688192581855
exp_9,16.0,0.27537463466365253,0.41427608604095917,0.07577540942306202
exp_9,32.0,0.27544497928428824,0.415070884141644,0.07923190342702995
exp_9,48.0,0.27647760495100526,0.41314678346329275,0.07942153713522572
exp_10,0.0,0.022194353744893085,0.09528804825735358,0.040780407292855994
exp_10,16.0,0.2724804478634412,0.41315267703373265,0.07468582838047608
exp_10,32.0,0.2749801792585445,0.4123137003397479,0.0788544603440989
exp_10,48.0,0.27428646082898767,0.41402856683501854,0.08000983179264251
exp_11,0.0,0.02151847688398482,0.06820665591903763,0.09457751831781065
exp_11,16.0,0.27442890974943823,0.41326564332087795,0.08310772351405636
exp_11,32.0,0.27389981608750147,0.41337142251777176,0.08126489997233062
exp_11,48.0,0.27494566215088545,0.4145632302150314,0.08032698788425148
